chat_memory_paused	已暂停
chat_memory_label	记忆：%1$s
chat_back	返回
chat_card_interface	卡片界面
chat_sessions	会话
chat_delete_session	删除会话
chat_new_session	新建会话
chat_more_options	更多选项
chat_long_term_memory	长期记忆…
chat_chat_background	聊天背景…
chat_clear_background	清除背景
chat_switch_persona	切换人设
chat_error_save_image	保存图片失败：%1$s
chat_error_read_image	读取图片失败：%1$s
chat_default_character_name	助手
chat_view_generated_images	查看生成图片（%1$d）
chat_generated_images_title	生成图片
chat_hide_prompt	收起提示词
chat_view_image_prompt	查看图片提示词
chat_delete	删除
chat_close	关闭
chat_cancel	取消
chat_delete_image_title	删除图片
chat_delete_image_message	将永久删除这张图片文件，无法恢复。
chat_delete_session_message	将永久删除「%1$s」的全部消息、图片与聊天背景，无法恢复。
chat_image_gen_failed	生图失败
chat_scene_diagnostic_title	场景总结诊断
chat_copy_diagnostic	复制诊断
chat_exported	已导出
chat_export_failed	导出失败
chat_actions	操作
chat_regenerate	重新生成
chat_export_generation_diagnostics	导出生成诊断
chat_export_raw_response	导出原始回复
chat_edit	编辑
chat_bubble_delete	删除
chat_no_body	未收到正文
chat_retry	重试
chat_hide_image_prompt	收起图片提示词
chat_bubble_view_image_prompt	查看图片提示词
chat_reasoning	思考过程
chat_reasoning_expand_hint	思考过程 · 点击展开
chat_bubble_cancel	取消
chat_bubble_save	保存
chat_image_content_desc	聊天图片
chat_generating_image	正在生成图片…
chat_cancel_image_gen	取消生图
chat_remove_attachment	移除附件
chat_add_image	添加图片
chat_generate_image	生成图片
chat_input_hint	输入消息
chat_stop_generation	停止生成
chat_send_message	发送消息
chat_select_memory_mode_title	为这条对话选择记忆模式
chat_select_memory_mode_message	选择后仅这条对话使用该模式，之后不能转换。打开它时会自动切回相应模式。旧聊天记录不会自动整理；可稍后手动补建。
chat_memory_manager_title	长期记忆 · %1$s
chat_memory_ready	就绪
chat_memory_global_disabled	全局记忆开关已关闭，提取和注入均暂停。
chat_memory_locked_none	此对话已锁定为无记忆。
chat_memory_needs_rebuild	聊天内容已变更，旧提取结果已停用。请手动重建。
chat_rebuild_vectors	重建向量索引
chat_show_active_only	只看有效记忆
chat_show_inactive	显示已失效记忆
chat_memory_inactive_prefix	[已失效]
chat_memory_source_label	来源：%1$s
chat_memory_source_manual	用户手动维护
chat_correct	纠正
chat_memory_delete	删除
chat_memory_close	关闭
chat_retry_pending	重试待处理
chat_backfill_history	补建历史
chat_backfill_title	补建历史记忆
chat_backfill_message	将整理本对话约 %1$d 条角色回复，预计至少 %2$d 次记忆模型请求。重新提取会替换当前记忆并产生模型费用。
chat_start_backfill	开始补建
chat_memory_cancel	取消
chat_rebuild_vectors_message	将为约 %1$d 条记忆调用向量接口；这可能产生费用。
chat_start	开始
chat_correct_memory_title	纠正记忆
chat_content_label	内容
chat_memory_save	保存
chat_image_generation_title	生成图片
chat_engine_label	生图引擎
chat_view_last_diagnostic	查看上次总结诊断
chat_engine_not_configured	（未配置）
chat_summarize_scene	由 AI 总结当前场景
chat_positive_prompt	正面提示词
chat_summarize_scene_hint	将使用当前对话最近的上下文自动生成生图提示词。
chat_negative_prompt	负面提示词（可选）
chat_generate	生成
chat_image_gen_cancel	取消
chat_select_character	选择角色
chat_no_characters	暂无角色
chat_import_hint	请先在“角色”页导入角色卡。
chat_character_card_interface	角色卡界面
chat_close_character_card_interface	关闭角色卡界面
chat_previous_page	上一页
chat_next_page	下一页
nav_tab_chat	聊天
nav_tab_characters	角色
nav_tab_world	世界书
nav_tab_extensions	扩展
nav_tab_settings	设置
nav_preset_limit_title	请检查当前生成预设
nav_preset_limit_message	旧版默认预设的上下文上限仅 4096、输出上限仅 300，可能造成世界书和回复被严重截断。新版内置默认值已调整为 1,000,000 / 131,072；导入或自行修改过的预设不会被强制覆盖，请前往“设置 → 生成预设”切换或检查当前预设。
nav_later	稍后
nav_go_to_preset_settings	去设置预设
nav_qq_group_title	加入 QQ 交流群
nav_qq_qrcode_desc	QQ 群二维码
nav_qq_group_name	tellev酒馆交流群
nav_qq_group_number	群号：754350480
nav_qq_group_hint	扫码或搜索群号加入，反馈问题、交流玩法。
nav_got_it	我知道了
nav_group_number_copied	已复制群号
nav_copy_group_number	复制群号
nav_update_title	发现新版本
nav_update_message	新版本 %1$s 已发布，当前版本 v%2$s。
nav_update_apk_size	安装包约 %1$s MB
nav_update_now	立即更新
nav_update_download_started	开始下载新版本…
ui_placeholder_message	架构入口已就绪，具体功能实现放在当前模块。
