crs_add_entry	添加条目
crs_agent_replying	agent 正在回复
crs_assets_hint	在对话里让 AI 创建或修改这些资源。脚本会随角色卡 JSON/PNG 导出；运行效果需在聊天中验证。
crs_assets_summary	TavernHelper 脚本 %1$d · 正则 %2$d · 变量 %3$d
crs_back	返回
crs_brief_hint	填写已想好的部分即可；也可以跳过表单，直接在下方对话。
crs_brief_title	创作起点
crs_btn_ai_decide	交给 AI 决定
crs_btn_check_assets	让 AI 检查资源
crs_btn_continue_guide	继续引导
crs_btn_discuss_one_by_one	逐条讨论
crs_btn_generate_draft	生成初稿
crs_btn_status_bar	制作动态状态栏
crs_cancel	取消
crs_collapse_draft_stream	收起结构化草稿
crs_constant_entry	常驻条目
crs_continue_extract	继续提炼
crs_continue_incomplete	继续未完成的创作
crs_conversation_intro	可以从一句设想开始。也可以指定叙事视角、人物关系、风格、开场、世界规则或前端形式；agent 会给出草稿供你修改。
crs_cover_cd	角色封面预览
crs_cover_change	更换封面图片
crs_cover_failed	设置封面失败：%1$s
crs_cover_missing_hint	尚未设置封面；JSON 可直接导出，PNG 需先选择封面。
crs_cover_pick	选择封面图片
crs_cover_title	角色封面
crs_delete	删除
crs_delete_draft_body	将删除“%1$s”的对话、原文和封面。已保存到角色列表或世界书的成品会保留。
crs_delete_draft_title	删除创作草稿？
crs_delete_entry	删除条目
crs_delta_stats	首片在 %1$d 秒、末片在 %2$d 秒到达；片段持续 %3$d 秒，共 %4$d 个。
crs_disabled	未启用
crs_draft_raw_title	结构化草稿原文（校验前）
crs_drafts_title	创作草稿
crs_duplicate_titles	有 %1$d 组同名条目，请核对重复或冲突。
crs_editor_title_character	创作角色卡
crs_editor_title_worldbook	创作世界书
crs_enabled	启用
crs_error_file_too_large	文件超过 12 MB，请拆分；没有截断导入。
crs_error_image_too_large	图片超过 12 MB，请选择较小的文件。
crs_error_not_utf8	仅支持 UTF-8 文本；文件编码无法解码，原文未处理。
crs_error_parse_image	无法解析所选图片
crs_error_read_image	无法读取所选图片
crs_error_read_source	无法读取原文
crs_error_write_file	无法写入所选文件
crs_export_failed	导出失败：%1$s
crs_export_json	导出 JSON
crs_export_json_done	JSON 角色卡已导出。
crs_export_png	导出 PNG 角色卡
crs_export_png_done	PNG 角色卡已导出。
crs_export_worldbook_done	世界书 JSON 已导出，可直接导入 SillyTavern。
crs_export_worldbook_json	导出世界书 JSON 文件
crs_field_alternate_greetings	备选开场（以空行分隔）
crs_field_characters	每行一人：姓名、与用户的关系、简介
crs_field_creator_notes	作者说明
crs_field_description	描述与背景
crs_field_example_messages	示例对话
crs_field_first_message	开场消息
crs_field_frontend_html	HTML/CSS 片段
crs_field_keys	关键词（逗号分隔）
crs_field_lore_content	条目内容
crs_field_lore_title	标题
crs_field_name	名称
crs_field_note	说明 / 事实或传闻
crs_field_paste_source	粘贴原文（可选）
crs_field_persona	用户扮演的身份（可选）
crs_field_personality	性格与行为
crs_field_post_history	历史后提示
crs_field_premise_character	角色与故事的核心设定（可选）
crs_field_premise_worldbook	世界观、地点、势力和规则（可选）
crs_field_relationship	角色与用户的关系（可选）
crs_field_scenario	场景
crs_field_secondary_keys	次级关键词（逗号分隔）
crs_field_system_prompt	系统提示
crs_field_tags	标签（逗号分隔）
crs_field_title_character	角色或故事名（可选）
crs_field_title_worldbook	世界书名（可选）
crs_field_worldbook_name	世界书名称
crs_first_message_preview	开场正文：%1$s
crs_frontend_hint	前端源代码会随开场消息保存。此处为隔离预览，最终仍需在 SillyTavern 和 Tellev 的真实聊天中验证。
crs_home_intro	与独立创作 agent 对话，制作角色卡、前端或世界书。
crs_home_title	AI 协作创作
crs_import_failed	导入失败
crs_import_text_file	导入文本文件
crs_input_label	告诉 agent 想创作什么
crs_kind_character	角色卡
crs_kind_worldbook	世界书
crs_length_concise	精简
crs_length_normal	标准
crs_length_rich	详细
crs_length_title	内容篇幅
crs_loading_draft	正在读取草稿…
crs_lore_count	条目 %1$d
crs_lore_one_by_one	逐条讨论，确认后写入
crs_min_characters_hint	请至少写两位角色，每人占一行。
crs_mode_chat	边聊边写
crs_mode_direct_draft	直接出初稿
crs_multi_characters	群像或多角色卡
crs_new_character	新建角色卡
crs_new_worldbook	新建世界书
crs_no_reasoning	本轮未收到可显示的思考文本；等待时间不能说明模型内部如何处理。
crs_no_stream_fallback	当前请求没有收到增量片段；结果在 %1$d 秒后整段到达。
crs_portability_issues	可移植性检查：%1$s
crs_progress_title	创作进度
crs_provider_connected	当前连接：%1$s
crs_reasoning_title	模型返回的思考文本
crs_regex_line	正则：%1$s
crs_retry_last	重试上一轮
crs_role_agent	创作 agent
crs_role_you	你
crs_save_source	保存原文
crs_save_to_character_list	保存到角色列表
crs_save_to_worldbook	保存到世界书
crs_script_line	%1$s · %2$s · %3$d 字符
crs_selective_entry	要求次级关键词
crs_send	发送
crs_session_meta	%1$s · %2$d 轮 · %3$d 条世界书内容
crs_show_latest_only	只看最新片段
crs_source_extracted_continue	原文已提炼 %1$d/%2$d 字符；可从已保存位置继续。
crs_source_extracted_short	原文已提炼 %1$d/%2$d 字符
crs_source_quote	%1$s [%2$d]：%3$s
crs_source_saved_pct	已保存 %1$d/%2$d 字符（%3$d%%）
crs_source_status	%1$s · %2$d/%3$d 字符已提炼
crs_start_extract	开始逐段提炼
crs_start_first_draft	生成第一版草稿
crs_start_guided	开始引导创作
crs_start_one_by_one	开始逐条讨论
crs_stop	停止
crs_stream_truncated	当前显示最近 %1$d 字；可展开查看全部。
crs_tab_advanced	高级资源
crs_tab_chat	对话
crs_tab_frontend	前端预览
crs_task_elapsed	任务已运行 %1$d 秒
crs_unnamed_character	未命名角色
crs_unnamed_draft	未命名草稿
crs_unnamed_worldbook	未命名世界书
crs_variables_line	变量：%1$s
crs_view_draft_stream	查看结构化草稿流（%1$d 字）
crs_view_full_stream	查看完整流式内容
crs_view_progress	查看本轮进度 · %1$s
crs_waiting_first_chunk	仍在等待首个流式片段。
crs_waiting_provider_text	等待供应商返回可显示的文字…
