extcompat_ejs_title	EJS 提示词模板设置
extcompat_ejs_subtitle	控制 EJS 模板（<%= ... %>）在提示词生成和消息渲染中的行为。
extcompat_section_basic	基础
extcompat_ejs_enable_title	启用 EJS 模板处理
extcompat_ejs_enable_subtitle	主开关，关闭后跳过所有模板处理
extcompat_ejs_debug_title	调试模式
extcompat_ejs_debug_subtitle	输出调试日志
extcompat_section_generate_stage	生成阶段
extcompat_ejs_generate_title	生成前处理
extcompat_ejs_generate_subtitle	在发送给 LLM 之前处理提示词中的 EJS
extcompat_ejs_generate_loader_title	世界书 [GENERATE:BEFORE]
extcompat_ejs_generate_loader_subtitle	处理世界书条目中的 GENERATE 指令
extcompat_ejs_inject_loader_title	@INJECT 注入加载器
extcompat_ejs_inject_loader_subtitle	处理 @INJECT 提示词注入指令
extcompat_ejs_preload_title	预加载世界书
extcompat_ejs_preload_subtitle	在生成前预加载世界书条目
extcompat_section_render_stage	渲染阶段
extcompat_ejs_render_title	渲染后处理
extcompat_ejs_render_subtitle	在收到 LLM 响应后处理 EJS 模板
extcompat_ejs_render_loader_title	渲染加载器
extcompat_ejs_render_loader_subtitle	渲染时执行加载器逻辑
extcompat_ejs_code_blocks_title	代码块处理
extcompat_ejs_code_blocks_subtitle	处理代码块中的 EJS
extcompat_ejs_raw_eval_title	永久评估
extcompat_ejs_raw_eval_subtitle	对每条消息永久评估变量
extcompat_ejs_filter_title	消息过滤
extcompat_ejs_filter_subtitle	过滤消息内容
extcompat_section_advanced	高级
extcompat_ejs_sandbox_title	沙盒模式
extcompat_ejs_sandbox_subtitle	在沙盒中执行 EJS 代码
extcompat_ejs_autosave_title	自动保存变量
extcompat_ejs_autosave_subtitle	自动保存 EJS 变量更改
extcompat_ejs_no_context_title	禁用上下文
extcompat_ejs_no_context_subtitle	禁用上下文变量注入
extcompat_ejs_invert_title	反转逻辑
extcompat_ejs_invert_subtitle	反转世界书激活逻辑
extcompat_ejs_compile_workers_title	编译 Worker
extcompat_ejs_compile_workers_subtitle	使用 Web Worker 编译模板
extcompat_ejs_code_editor_title	代码编辑器
extcompat_ejs_code_editor_subtitle	启用代码编辑器 UI
extcompat_depth_limit	深度限制: %1$s
extcompat_depth_unlimited	无限制
extcompat_reset_default	重置默认
extcompat_done	完成
extcompat_th_title	酒馆助手设置
extcompat_th_subtitle	控制酒馆助手兼容层的行为，包括音频、优化和渲染选项。
extcompat_section_audio	音频
extcompat_th_audio_enable_title	启用音频
extcompat_th_audio_enable_subtitle	启用 BGM 和环境音播放
extcompat_th_bgm_title	BGM 播放
extcompat_th_bgm_subtitle	背景音乐播放
extcompat_th_bgm_muted_title	BGM 静音
extcompat_th_bgm_muted_subtitle	静音背景音乐
extcompat_th_ambient_title	环境音播放
extcompat_th_ambient_subtitle	环境音效播放
extcompat_th_ambient_muted_title	环境音静音
extcompat_th_ambient_muted_subtitle	静音环境音
extcompat_th_volumes	BGM 音量: %1$d  环境音量: %2$d
extcompat_section_optimize	优化
extcompat_th_opt_incompatible_title	禁用不兼容选项
extcompat_th_opt_incompatible_subtitle	自动禁用与 tellev 不兼容的选项
